milestone_id,collection_id,workstream,milestone_name,planned_date,actual_date,owner,status,dependency_id,delay_days,is_blocked,blocker_reason,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,days_to_launch_at_plan,is_overdue
MS00057,COL004,sourcing,Supplier nomination,2026-05-11,,Quality Manager,At Risk,MS00056,4,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,138,False
MS00058,COL004,sourcing,Purchase order confirmed,2026-05-29,,Quality Manager,At Risk,MS00057,1,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,120,False
MS00059,COL004,production,Size set sample approved,2026-06-15,,Logistics Lead,Blocked,MS00058,1,True,Content approval missing,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,103,False
MS00060,COL004,production,Production start,2026-06-23,,E-commerce Producer,In Progress,MS00059,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,95,False
MS00061,COL004,quality_control,Mid-production inspection,2026-07-18,,Logistics Lead,At Risk,MS00060,7,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,70,False
MS00062,COL004,quality_control,Final quality inspection,2026-08-13,,E-commerce Producer,At Risk,MS00061,1,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,44,False
MS00063,COL004,inbound_logistics,Shipment booking confirmed,2026-08-15,,E-commerce Producer,At Risk,MS00062,2,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,42,False
MS00064,COL004,inbound_logistics,Customs documentation completed,2026-08-30,,Retail Operations,In Progress,MS00063,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,27,False
MS00065,COL004,warehouse_allocation,Warehouse slot confirmed,2026-09-07,,E-commerce Producer,At Risk,MS00064,1,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,19,False
MS00066,COL004,ecommerce,Product copy uploaded,2026-09-09,,Sourcing Lead,At Risk,MS00065,4,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,17,False
MS00067,COL004,ecommerce,Product images approved,2026-09-12,,Quality Manager,In Progress,MS00066,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,14,False
MS00068,COL004,ecommerce,Pricing approved,2026-09-09,,E-commerce Producer,In Progress,MS00067,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,17,False
MS00069,COL004,marketing,Campaign assets delivered,2026-09-10,,Retail Operations,In Progress,MS00068,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,16,False
MS00070,COL004,retail_readiness,Retail briefing completed,2026-09-18,,Merchandising,Not Started,MS00069,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,8,False
MS00071,COL004,launch_governance,Launch readiness review,2026-09-21,,Logistics Lead,Blocked,MS00070,11,True,Pricing decision pending,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,5,False
MS00072,COL004,launch_governance,Go-live approval,2026-09-20,,Merchandising,In Progress,MS00071,0,False,,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,6,False
MS00073,COL005,design,Final design sign-off,2026-02-23,2026-02-23,E-commerce Producer,Completed,,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,152,False
MS00074,COL005,design,Fabric approval,2026-03-02,2026-03-11,E-commerce Producer,Completed,MS00073,9,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,145,False
MS00075,COL005,sourcing,Supplier nomination,2026-03-13,2026-03-12,Marketing Manager,Completed,MS00074,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,134,False
MS00076,COL005,sourcing,Purchase order confirmed,2026-03-29,,Compliance Lead,Delayed,MS00075,1,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,118,True
MS00077,COL005,production,Size set sample approved,2026-04-11,,Logistics Lead,Blocked,MS00076,4,True,Dependency not complete,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,105,True
MS00078,COL005,production,Production start,2026-04-28,,Sourcing Lead,At Risk,MS00077,12,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,88,False
MS00079,COL005,quality_control,Mid-production inspection,2026-05-16,,E-commerce Producer,Not Started,MS00078,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,70,False
MS00080,COL005,quality_control,Final quality inspection,2026-06-10,,Merchandising,At Risk,MS00079,1,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,45,False
MS00081,COL005,inbound_logistics,Shipment booking confirmed,2026-06-20,,Quality Manager,In Progress,MS00080,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,35,False
MS00082,COL005,inbound_logistics,Customs documentation completed,2026-06-22,,Compliance Lead,At Risk,MS00081,11,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,33,False
MS00083,COL005,warehouse_allocation,Warehouse slot confirmed,2026-07-03,,E-commerce Producer,In Progress,MS00082,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,22,False
MS00084,COL005,ecommerce,Product copy uploaded,2026-07-09,,Production Planner,In Progress,MS00083,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,16,False
MS00085,COL005,ecommerce,Product images approved,2026-07-10,,Compliance Lead,In Progress,MS00084,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,15,False
MS00086,COL005,ecommerce,Pricing approved,2026-07-12,,Retail Operations,At Risk,MS00085,8,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,13,False
MS00087,COL005,marketing,Campaign assets delivered,2026-07-15,,Compliance Lead,At Risk,MS00086,9,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,10,False
MS00088,COL005,retail_readiness,Retail briefing completed,2026-07-15,,Merchandising,At Risk,MS00087,2,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,10,False
MS00089,COL005,launch_governance,Launch readiness review,2026-07-22,,Quality Manager,Not Started,MS00088,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,3,False
MS00090,COL005,launch_governance,Go-live approval,2026-07-22,,Quality Manager,Not Started,MS00089,0,False,,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,3,False
MS00091,COL006,design,Final design sign-off,2026-08-04,,Retail Operations,At Risk,,6,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,157,False
MS00092,COL006,design,Fabric approval,2026-08-15,,Logistics Lead,At Risk,MS00091,1,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,146,False
MS00093,COL006,sourcing,Supplier nomination,2026-08-22,,Quality Manager,At Risk,MS00092,6,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,139,False
MS00094,COL006,sourcing,Purchase order confirmed,2026-09-08,,Merchandising,At Risk,MS00093,1,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,122,False
MS00095,COL006,production,Size set sample approved,2026-09-27,,PMO,At Risk,MS00094,3,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,103,False
MS00096,COL006,production,Production start,2026-10-10,,Compliance Lead,Not Started,MS00095,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,90,False
MS00097,COL006,quality_control,Mid-production inspection,2026-11-03,,Sourcing Lead,Not Started,MS00096,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,66,False
MS00098,COL006,quality_control,Final quality inspection,2026-11-24,,Compliance Lead,Not Started,MS00097,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,45,False
MS00099,COL006,inbound_logistics,Shipment booking confirmed,2026-12-03,,Production Planner,Not Started,MS00098,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,36,False
MS00100,COL006,inbound_logistics,Customs documentation completed,2026-12-11,,Marketing Manager,In Progress,MS00099,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,28,False
MS00101,COL006,warehouse_allocation,Warehouse slot confirmed,2026-12-22,,Merchandising,At Risk,MS00100,10,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,17,False
MS00102,COL006,ecommerce,Product copy uploaded,2026-12-22,,Production Planner,Blocked,MS00101,8,True,Dependency not complete,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,17,False
MS00103,COL006,ecommerce,Product images approved,2026-12-26,,Quality Manager,At Risk,MS00102,6,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,13,False
MS00104,COL006,ecommerce,Pricing approved,2026-12-25,,Compliance Lead,In Progress,MS00103,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,14,False
MS00105,COL006,marketing,Campaign assets delivered,2026-12-26,,Retail Operations,Not Started,MS00104,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,13,False
MS00106,COL006,retail_readiness,Retail briefing completed,2026-12-26,,Logistics Lead,In Progress,MS00105,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,13,False
MS00107,COL006,launch_governance,Launch readiness review,2027-01-02,,Production Planner,At Risk,MS00106,1,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,6,False
MS00108,COL006,launch_governance,Go-live approval,2027-01-03,,Retail Operations,Not Started,MS00107,0,False,,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,5,False
MS00109,COL007,design,Final design sign-off,2026-07-03,,Logistics Lead,Not Started,,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,151,False
MS00110,COL007,design,Fabric approval,2026-07-13,,Production Planner,In Progress,MS00109,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,141,False
MS00111,COL007,sourcing,Supplier nomination,2026-07-20,,Compliance Lead,At Risk,MS00110,7,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,134,False
MS00112,COL007,sourcing,Purchase order confirmed,2026-08-04,,Retail Operations,Not Started,MS00111,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,119,False
MS00113,COL007,production,Size set sample approved,2026-08-20,,Merchandising,Not Started,MS00112,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,103,False
MS00114,COL007,production,Production start,2026-09-01,,Production Planner,Not Started,MS00113,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,91,False
MS00115,COL007,quality_control,Mid-production inspection,2026-09-27,,Quality Manager,At Risk,MS00114,6,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,65,False
MS00116,COL007,quality_control,Final quality inspection,2026-10-18,,Quality Manager,Not Started,MS00115,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,44,False
MS00117,COL007,inbound_logistics,Shipment booking confirmed,2026-10-27,,Merchandising,In Progress,MS00116,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,35,False
MS00118,COL007,inbound_logistics,Customs documentation completed,2026-11-03,,PMO,Not Started,MS00117,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,28,False
MS00119,COL007,warehouse_allocation,Warehouse slot confirmed,2026-11-11,,Compliance Lead,At Risk,MS00118,10,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,20,False
MS00120,COL007,ecommerce,Product copy uploaded,2026-11-12,,PMO,Not Started,MS00119,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,19,False
MS00121,COL007,ecommerce,Product images approved,2026-11-14,,Retail Operations,In Progress,MS00120,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,17,False
MS00122,COL007,ecommerce,Pricing approved,2026-11-18,,E-commerce Producer,Not Started,MS00121,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,13,False
MS00123,COL007,marketing,Campaign assets delivered,2026-11-20,,Quality Manager,In Progress,MS00122,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,11,False
MS00124,COL007,retail_readiness,Retail briefing completed,2026-11-23,,Marketing Manager,In Progress,MS00123,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,8,False
MS00125,COL007,launch_governance,Launch readiness review,2026-11-30,,Production Planner,At Risk,MS00124,7,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,1,False
MS00126,COL007,launch_governance,Go-live approval,2026-12-01,,PMO,Not Started,MS00125,0,False,,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,0,False
MS00127,COL008,design,Final design sign-off,2026-04-13,2026-04-08,Logistics Lead,Completed,,0,False,,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,154,False
MS00128,COL008,design,Fabric approval,2026-04-21,2026-04-18,PMO,Completed,MS00127,0,False,,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,146,False
MS00129,COL008,sourcing,Supplier nomination,2026-05-05,,Merchandising,In Progress,MS00128,0,False,,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,132,False
MS00130,COL008,sourcing,Purchase order confirmed,2026-05-16,,Compliance Lead,At Risk,MS00129,3,False,,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,121,False
