risk_id,collection_id,workstream,risk_type,risk_description,probability,impact,severity,risk_score,owner,status,mitigation_status,date_identified,target_resolution_date,collection_name,brand_id,brand_name,market,season,launch_date,launch_channel,is_open_critical,is_open
RSK0019,COL027,ecommerce,customs issue,Customs hold risk linked to incomplete documents,3,4,High,12,Retail Operations,Mitigating,Overdue,2027-02-15,2027-03-01,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0020,COL006,quality_control,quality failure,Inspection failure could require rework before shipment,4,3,High,12,Retail Operations,Escalated,In Progress,2026-11-24,2026-12-30,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,True
RSK0021,COL014,inbound_logistics,compliance issue,Labeling or sustainability document may need review,1,2,Low,2,Quality Manager,Open,Not Started,2026-09-22,2026-10-07,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,True
RSK0022,COL002,design,customs issue,Customs hold risk linked to incomplete documents,4,2,Medium,8,Merchandising,Open,Overdue,2026-07-29,2026-08-23,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0023,COL002,inbound_logistics,packaging delay,Packaging approval may miss production handoff,4,3,High,12,Production Planner,Open,In Progress,2026-08-15,2026-09-07,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0024,COL005,warehouse_allocation,supplier capacity,Supplier capacity issue may compress production window,1,2,Low,2,Merchandising,Open,In Progress,2026-06-02,2026-06-15,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,True
RSK0025,COL025,design,packaging delay,Packaging approval may miss production handoff,2,2,Low,4,Quality Manager,Open,Completed,2027-02-03,2027-02-19,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,True
RSK0026,COL001,inbound_logistics,supplier capacity,Supplier capacity issue may compress production window,4,3,High,12,Retail Operations,Mitigating,In Progress,2026-06-02,2026-07-06,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,True
RSK0027,COL004,warehouse_allocation,ecommerce readiness,Missing product content may block digital go-live,1,3,Low,3,Production Planner,Monitoring,In Progress,2026-07-05,2026-07-19,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0028,COL029,ecommerce,production backlog,Factory backlog may push final inspection,2,3,Medium,6,PMO,Open,Not Started,2026-06-12,2026-07-09,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0029,COL002,design,compliance issue,Labeling or sustainability document may need review,4,3,High,12,Quality Manager,Mitigating,Completed,2026-08-07,2026-08-26,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0030,COL004,inbound_logistics,stock allocation,Allocation dispute may reduce launch coverage,4,4,Critical,16,Merchandising,Open,Completed,2026-08-04,2026-08-28,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,True,True
RSK0031,COL017,retail_readiness,customs issue,Customs hold risk linked to incomplete documents,3,2,Medium,6,Merchandising,Open,In Progress,2026-12-11,2027-01-02,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,True
RSK0032,COL021,inbound_logistics,production backlog,Factory backlog may push final inspection,4,5,Critical,20,Logistics Lead,Closed,Completed,2026-09-24,2026-11-06,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,False
RSK0033,COL011,marketing,production backlog,Factory backlog may push final inspection,4,3,High,12,Compliance Lead,Mitigating,Not Started,2026-07-03,2026-08-02,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,True
RSK0034,COL014,quality_control,stock allocation,Allocation dispute may reduce launch coverage,3,5,High,15,Compliance Lead,Monitoring,In Progress,2026-09-19,2026-11-02,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,True
RSK0035,COL026,warehouse_allocation,packaging delay,Packaging approval may miss production handoff,1,4,Low,4,Merchandising,Escalated,In Progress,2026-05-23,2026-06-12,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,True
RSK0036,COL013,ecommerce,stock allocation,Allocation dispute may reduce launch coverage,2,5,High,10,Compliance Lead,Escalated,Overdue,2026-12-06,2027-01-11,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,True
RSK0037,COL027,design,compliance issue,Labeling or sustainability document may need review,1,3,Low,3,Retail Operations,Escalated,Completed,2026-12-13,2027-01-11,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0038,COL016,ecommerce,marketing delay,Campaign assets may miss launch handover,2,2,Low,4,PMO,Monitoring,In Progress,2026-07-08,2026-08-21,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0039,COL010,production,data/content issue,Product data may need manual cleanup before publishing,2,3,Medium,6,Compliance Lead,Mitigating,In Progress,2026-03-26,2026-04-17,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,True
RSK0040,COL016,launch_governance,quality failure,Inspection failure could require rework before shipment,2,2,Low,4,PMO,Monitoring,Not Started,2026-08-05,2026-08-29,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0041,COL020,design,packaging delay,Packaging approval may miss production handoff,3,5,High,15,Quality Manager,Open,In Progress,2026-07-09,2026-07-24,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,True
RSK0042,COL018,quality_control,logistics delay,Transport disruption may delay inbound arrival,4,3,High,12,E-commerce Producer,Mitigating,In Progress,2026-10-17,2026-11-22,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,False,True
RSK0043,COL019,marketing,ecommerce readiness,Missing product content may block digital go-live,1,3,Low,3,Quality Manager,Mitigating,Completed,2027-01-14,2027-02-17,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0044,COL027,design,logistics delay,Transport disruption may delay inbound arrival,2,3,Medium,6,Marketing Manager,Escalated,In Progress,2026-12-27,2027-02-05,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,False,True
RSK0045,COL025,marketing,ecommerce readiness,Missing product content may block digital go-live,1,4,Low,4,Sourcing Lead,Open,Overdue,2026-11-24,2026-12-27,Zara Kids Back to School SS25,BR001,Zara,United Kingdom,SS25,2027-02-26,Retail,False,True
RSK0046,COL016,ecommerce,ecommerce readiness,Missing product content may block digital go-live,4,4,Critical,16,Retail Operations,Closed,In Progress,2026-06-11,2026-07-22,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,False
RSK0047,COL020,retail_readiness,customs issue,Customs hold risk linked to incomplete documents,2,3,Medium,6,Logistics Lead,Open,Not Started,2026-07-15,2026-08-16,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,True
RSK0048,COL026,launch_governance,packaging delay,Packaging approval may miss production handoff,4,5,Critical,20,Production Planner,Mitigating,Completed,2026-06-10,2026-07-04,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,True,True
RSK0049,COL029,launch_governance,supplier capacity,Supplier capacity issue may compress production window,2,2,Low,4,Merchandising,Escalated,Completed,2026-07-20,2026-07-31,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0050,COL014,marketing,marketing delay,Campaign assets may miss launch handover,3,3,Medium,9,Sourcing Lead,Mitigating,In Progress,2026-08-08,2026-08-25,Pull&Bear Denim Drop AW25,BR002,Pull&Bear,Italy,AW25,2026-11-09,Omnichannel,False,True
RSK0051,COL020,sourcing,packaging delay,Packaging approval may miss production handoff,3,4,High,12,Production Planner,Mitigating,Not Started,2026-05-08,2026-05-26,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,True
RSK0052,COL019,launch_governance,logistics delay,Transport disruption may delay inbound arrival,1,3,Low,3,Production Planner,Monitoring,Overdue,2027-01-13,2027-02-11,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0053,COL026,inbound_logistics,supplier capacity,Supplier capacity issue may compress production window,2,3,Medium,6,Quality Manager,Monitoring,Completed,2026-05-22,2026-06-11,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,True
RSK0054,COL004,production,quality failure,Inspection failure could require rework before shipment,1,4,Low,4,Marketing Manager,Open,In Progress,2026-08-13,2026-09-05,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0055,COL013,sourcing,ecommerce readiness,Missing product content may block digital go-live,3,3,Medium,9,Retail Operations,Mitigating,In Progress,2026-12-30,2027-01-16,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,True
RSK0056,COL029,sourcing,quality failure,Inspection failure could require rework before shipment,4,3,High,12,Retail Operations,Monitoring,Not Started,2026-07-09,2026-08-13,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0057,COL002,quality_control,quality failure,Inspection failure could require rework before shipment,4,2,Medium,8,Compliance Lead,Escalated,Completed,2026-10-08,2026-10-31,Oysho Ski AW25,BR006,Oysho,Portugal,AW25,2026-10-30,Omnichannel,False,True
RSK0058,COL021,ecommerce,supplier capacity,Supplier capacity issue may compress production window,1,5,Medium,5,Compliance Lead,Mitigating,Overdue,2026-09-25,2026-11-07,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,True
RSK0059,COL008,inbound_logistics,quality failure,Inspection failure could require rework before shipment,3,3,Medium,9,Merchandising,Monitoring,Completed,2026-08-26,2026-09-28,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,True
RSK0060,COL006,production,logistics delay,Transport disruption may delay inbound arrival,1,5,Medium,5,PMO,Open,Not Started,2026-11-03,2026-12-16,Stradivarius Accessories Summer 25,BR005,Stradivarius,United Kingdom,Summer 25,2027-01-08,Omnichannel,False,True
RSK0061,COL018,marketing,ecommerce readiness,Missing product content may block digital go-live,4,5,Critical,20,Production Planner,Monitoring,Completed,2026-10-31,2026-12-13,Stradivarius Denim Summer 25,BR005,Stradivarius,Spain,Summer 25,2026-11-18,Omnichannel,True,True
RSK0062,COL011,inbound_logistics,ecommerce readiness,Missing product content may block digital go-live,2,4,Medium,8,PMO,Escalated,Completed,2026-08-05,2026-08-15,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,True
RSK0063,COL029,warehouse_allocation,production backlog,Factory backlog may push final inspection,1,5,Medium,5,Sourcing Lead,Mitigating,In Progress,2026-07-07,2026-07-23,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0064,COL010,sourcing,quality failure,Inspection failure could require rework before shipment,1,4,Low,4,PMO,Mitigating,Not Started,2026-05-02,2026-05-15,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,True
RSK0065,COL019,sourcing,customs issue,Customs hold risk linked to incomplete documents,4,4,Critical,16,Compliance Lead,Open,Completed,2026-12-26,2027-01-23,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,True,True
RSK0066,COL004,production,compliance issue,Labeling or sustainability document may need review,1,5,Medium,5,Compliance Lead,Open,In Progress,2026-06-20,2026-07-23,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0067,COL030,launch_governance,quality failure,Inspection failure could require rework before shipment,2,4,Medium,8,Retail Operations,Open,In Progress,2026-09-27,2026-10-07,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0068,COL015,launch_governance,data/content issue,Product data may need manual cleanup before publishing,2,5,High,10,Retail Operations,Open,In Progress,2026-10-12,2026-11-21,Pull&Bear Denim Drop SS25,BR002,Pull&Bear,United Kingdom,SS25,2026-11-25,Retail,False,True
RSK0069,COL020,ecommerce,stock allocation,Allocation dispute may reduce launch coverage,3,3,Medium,9,Merchandising,Monitoring,Overdue,2026-05-12,2026-05-30,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,True
RSK0070,COL021,quality_control,customs issue,Customs hold risk linked to incomplete documents,2,5,High,10,Production Planner,Monitoring,Not Started,2026-09-07,2026-09-17,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,United States,SS25,2026-10-26,E-commerce,False,True
RSK0071,COL028,ecommerce,stock allocation,Allocation dispute may reduce launch coverage,3,2,Medium,6,Quality Manager,Monitoring,Not Started,2026-08-05,2026-09-14,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Mexico,Holiday 25,2026-10-09,Omnichannel,False,True
RSK0072,COL013,warehouse_allocation,marketing delay,Campaign assets may miss launch handover,2,4,Medium,8,Logistics Lead,Escalated,In Progress,2026-12-30,2027-01-12,Stradivarius Denim SS25,BR005,Stradivarius,United States,SS25,2027-02-02,Omnichannel,False,True
RSK0073,COL029,launch_governance,packaging delay,Packaging approval may miss production handoff,2,2,Low,4,Marketing Manager,Open,Not Started,2026-08-18,2026-09-03,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0074,COL001,production,stock allocation,Allocation dispute may reduce launch coverage,3,3,Medium,9,Production Planner,Mitigating,In Progress,2026-06-06,2026-07-01,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,True
RSK0075,COL016,sourcing,production backlog,Factory backlog may push final inspection,4,3,High,12,Sourcing Lead,Mitigating,In Progress,2026-07-31,2026-09-12,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0076,COL008,quality_control,marketing delay,Campaign assets may miss launch handover,4,4,Critical,16,Logistics Lead,Mitigating,In Progress,2026-06-03,2026-07-12,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,True,True
RSK0077,COL019,design,logistics delay,Transport disruption may delay inbound arrival,3,3,Medium,9,PMO,Escalated,In Progress,2026-11-28,2027-01-10,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0078,COL015,production,ecommerce readiness,Missing product content may block digital go-live,3,4,High,12,PMO,Mitigating,Completed,2026-09-10,2026-10-24,Pull&Bear Denim Drop SS25,BR002,Pull&Bear,United Kingdom,SS25,2026-11-25,Retail,False,True
RSK0079,COL023,design,quality failure,Inspection failure could require rework before shipment,2,3,Medium,6,Quality Manager,Open,Completed,2026-10-22,2026-11-13,Massimo Dutti Knitwear SS25,BR003,Massimo Dutti,Portugal,SS25,2027-02-16,Omnichannel,False,True
RSK0080,COL007,quality_control,customs issue,Customs hold risk linked to incomplete documents,4,3,High,12,Quality Manager,Open,Overdue,2026-09-17,2026-10-20,Bershka B Series AW25,BR004,Bershka,United Kingdom,AW25,2026-12-01,E-commerce,False,True
RSK0081,COL017,sourcing,logistics delay,Transport disruption may delay inbound arrival,2,2,Low,4,Compliance Lead,Open,Completed,2027-02-11,2027-03-25,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,True
RSK0082,COL011,retail_readiness,production backlog,Factory backlog may push final inspection,1,3,Low,3,PMO,Open,In Progress,2026-08-14,2026-08-29,Stradivarius Summer Stories Holiday 25,BR005,Stradivarius,Italy,Holiday 25,2026-10-29,Retail,False,True
RSK0083,COL019,sourcing,customs issue,Customs hold risk linked to incomplete documents,4,3,High,12,Sourcing Lead,Mitigating,Completed,2027-02-11,2027-03-27,Pull&Bear Graphic Edit SS25,BR002,Pull&Bear,Portugal,SS25,2027-03-01,Omnichannel,False,True
RSK0084,COL020,quality_control,compliance issue,Labeling or sustainability document may need review,4,4,Critical,16,E-commerce Producer,Mitigating,Completed,2026-06-19,2026-07-10,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,True,True
RSK0085,COL027,production,ecommerce readiness,Missing product content may block digital go-live,4,4,Critical,16,E-commerce Producer,Escalated,In Progress,2027-03-01,2027-03-28,Zara Origins AW25,BR001,Zara,Mexico,AW25,2027-03-26,Omnichannel,True,True
RSK0086,COL030,design,stock allocation,Allocation dispute may reduce launch coverage,4,4,Critical,16,Compliance Lead,Mitigating,Overdue,2026-10-06,2026-11-04,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,True,True
RSK0087,COL015,inbound_logistics,supplier capacity,Supplier capacity issue may compress production window,2,4,Medium,8,Compliance Lead,Open,Overdue,2026-09-17,2026-10-15,Pull&Bear Denim Drop SS25,BR002,Pull&Bear,United Kingdom,SS25,2026-11-25,Retail,False,True
RSK0088,COL012,warehouse_allocation,ecommerce readiness,Missing product content may block digital go-live,4,4,Critical,16,PMO,Escalated,In Progress,2026-10-06,2026-10-18,Zara Home Kids Home SS25,BR007,Zara Home,Netherlands,SS25,2026-12-06,E-commerce,True,True
RSK0089,COL016,marketing,customs issue,Customs hold risk linked to incomplete documents,3,2,Medium,6,Retail Operations,Mitigating,Completed,2026-06-28,2026-07-18,Oysho Training SS25,BR006,Oysho,Portugal,SS25,2026-08-31,E-commerce,False,True
RSK0090,COL001,retail_readiness,production backlog,Factory backlog may push final inspection,1,3,Low,3,Compliance Lead,Open,In Progress,2026-06-27,2026-07-28,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,True
RSK0091,COL024,ecommerce,customs issue,Customs hold risk linked to incomplete documents,2,4,Medium,8,Compliance Lead,Escalated,Completed,2026-09-16,2026-09-26,Zara Man Essentials SS25,BR001,Zara,United States,SS25,2026-10-20,Omnichannel,False,True
RSK0092,COL009,quality_control,stock allocation,Allocation dispute may reduce launch coverage,4,2,Medium,8,Production Planner,Open,In Progress,2026-11-05,2026-11-29,Massimo Dutti Knitwear AW25,BR003,Massimo Dutti,Italy,AW25,2027-01-27,Retail,False,True
RSK0093,COL005,ecommerce,quality failure,Inspection failure could require rework before shipment,1,2,Low,2,E-commerce Producer,Mitigating,Not Started,2026-05-26,2026-06-14,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,True
RSK0094,COL010,marketing,quality failure,Inspection failure could require rework before shipment,3,3,Medium,9,Marketing Manager,Monitoring,Completed,2026-06-23,2026-07-30,Zara Home Bed Linen Summer 25,BR007,Zara Home,Germany,Summer 25,2026-07-23,Marketplace,False,True
RSK0095,COL026,design,production backlog,Factory backlog may push final inspection,1,4,Low,4,Compliance Lead,Open,Overdue,2026-04-30,2026-05-25,Pull&Bear Campus Summer 25,BR002,Pull&Bear,United Kingdom,Summer 25,2026-08-10,Retail,False,True
RSK0096,COL020,quality_control,quality failure,Inspection failure could require rework before shipment,2,4,Medium,8,Quality Manager,Open,Overdue,2026-07-25,2026-08-14,Oysho Training Summer 25,BR006,Oysho,Spain,Summer 25,2026-08-31,Retail,False,True
RSK0097,COL005,marketing,packaging delay,Packaging approval may miss production handoff,4,2,Medium,8,Retail Operations,Open,In Progress,2026-04-19,2026-05-13,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,True
RSK0098,COL001,ecommerce,quality failure,Inspection failure could require rework before shipment,1,3,Low,3,Compliance Lead,Closed,Completed,2026-03-26,2026-04-13,Bershka Partywear Holiday 25,BR004,Bershka,Italy,Holiday 25,2026-07-23,Omnichannel,False,False
RSK0099,COL022,retail_readiness,compliance issue,Labeling or sustainability document may need review,4,4,Critical,16,Marketing Manager,Escalated,In Progress,2026-10-04,2026-10-26,Massimo Dutti Limited Edition Holiday 25,BR003,Massimo Dutti,Poland,Holiday 25,2026-12-20,E-commerce,True,True
RSK0100,COL005,warehouse_allocation,stock allocation,Allocation dispute may reduce launch coverage,4,2,Medium,8,Production Planner,Monitoring,Overdue,2026-03-29,2026-05-04,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,True
RSK0101,COL008,warehouse_allocation,marketing delay,Campaign assets may miss launch handover,2,2,Low,4,Merchandising,Open,Not Started,2026-06-12,2026-07-06,Massimo Dutti Tailoring Holiday 25,BR003,Massimo Dutti,Italy,Holiday 25,2026-09-14,Omnichannel,False,True
RSK0102,COL004,retail_readiness,compliance issue,Labeling or sustainability document may need review,1,4,Low,4,Production Planner,Open,In Progress,2026-08-29,2026-09-27,Bershka Denim Core Holiday 25,BR004,Bershka,Spain,Holiday 25,2026-09-26,Retail,False,True
RSK0103,COL017,production,marketing delay,Campaign assets may miss launch handover,4,4,Critical,16,Sourcing Lead,Closed,Completed,2027-03-10,2027-03-24,Zara Woman Studio Holiday 25,BR001,Zara,Portugal,Holiday 25,2027-03-28,Retail,False,False
RSK0104,COL030,design,stock allocation,Allocation dispute may reduce launch coverage,1,5,Medium,5,Merchandising,Mitigating,In Progress,2026-11-29,2026-12-11,Zara Home Tableware SS25,BR007,Zara Home,Spain,SS25,2026-12-21,E-commerce,False,True
RSK0105,COL029,retail_readiness,supplier capacity,Supplier capacity issue may compress production window,2,5,High,10,Retail Operations,Escalated,Completed,2026-07-24,2026-08-05,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
RSK0106,COL005,ecommerce,production backlog,Factory backlog may push final inspection,3,5,High,15,Marketing Manager,Open,Completed,2026-03-31,2026-04-13,Massimo Dutti Atelier Summer 25,BR003,Massimo Dutti,Mexico,Summer 25,2026-07-25,Omnichannel,False,True
RSK0107,COL029,sourcing,logistics delay,Transport disruption may delay inbound arrival,4,2,Medium,8,Retail Operations,Open,Not Started,2026-05-31,2026-07-06,Pull&Bear Graphic Edit Holiday 25,BR002,Pull&Bear,Poland,Holiday 25,2026-09-25,Omnichannel,False,True
