collection_id,brand_id,collection_name,season,market,launch_date,launch_channel,category_mix,strategic_priority,launch_criticality,commercial_priority,revenue_exposure_band,planned_scope_skus,data_source,brand_name,target_segment,price_tier,readiness_score,readiness_band,launch_countdown_days,completed_milestone_rate,open_critical_risks,blocked_milestones,overdue_actions,average_delay_days,supplier_reliability_score
COL015,BR002,Pull&Bear Denim Drop SS25,SS25,United Kingdom,2026-11-25,Retail,"knitwear, tailoring, accessories",Hero Launch,High,Low,Strategic,450,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Pull&Bear,young casual fashion,accessible,69.8,At Risk,214,0.0,0,1,0,7.6,76.6
COL016,BR006,Oysho Training SS25,SS25,Portugal,2026-08-31,E-commerce,"knitwear, activewear, footwear",Market Test,Standard,Medium,Medium,190,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Oysho,activewear and lingerie,mid,66.2,At Risk,128,0.111,1,1,0,5.8,74.3
COL017,BR001,Zara Woman Studio Holiday 25,Holiday 25,Portugal,2027-03-28,Retail,"outerwear, bags",Market Test,High,Strategic,Strategic,110,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Zara,"women, men and kids",mid,72.1,Watch,337,0.0,1,1,0,7.9,79.4
COL018,BR005,Stradivarius Denim Summer 25,Summer 25,Spain,2026-11-18,Omnichannel,"activewear, knitwear, tailoring, formalwear",Market Test,Standard,Medium,High,168,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Stradivarius,young womenswear,accessible,69.4,At Risk,207,0.0,1,2,0,3.9,79.3
COL019,BR002,Pull&Bear Graphic Edit SS25,SS25,Portugal,2027-03-01,Omnichannel,"kids basics, knitwear, denim, dresses",Market Test,High,Medium,Low,133,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Pull&Bear,young casual fashion,accessible,64.1,At Risk,310,0.0,2,0,0,8.5,72.3
COL020,BR006,Oysho Training Summer 25,Summer 25,Spain,2026-08-31,Retail,"formalwear, denim, footwear, home textiles",Hero Launch,High,High,Low,143,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Oysho,activewear and lingerie,mid,65.0,At Risk,128,0.056,1,2,0,7.1,82.9
COL021,BR002,Pull&Bear Graphic Edit SS25,SS25,United States,2026-10-26,E-commerce,"accessories, tailoring, denim, footwear",Core,Board Review,Low,High,123,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Pull&Bear,young casual fashion,accessible,89.1,Ready,184,0.0,0,0,0,4.2,79.2
COL022,BR003,Massimo Dutti Limited Edition Holiday 25,Holiday 25,Poland,2026-12-20,E-commerce,"bags, dresses",Market Test,High,Medium,High,300,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Massimo Dutti,premium contemporary,premium,72.7,Watch,239,0.0,1,2,0,3.3,81.4
COL023,BR003,Massimo Dutti Knitwear SS25,SS25,Portugal,2027-02-16,Omnichannel,"footwear, home textiles",Growth,High,Strategic,High,179,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Massimo Dutti,premium contemporary,premium,83.9,Watch,297,0.0,0,1,0,4.9,77.0
COL024,BR001,Zara Man Essentials SS25,SS25,United States,2026-10-20,Omnichannel,"activewear, knitwear, formalwear",Core,High,High,Low,162,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Zara,"women, men and kids",mid,82.6,Watch,178,0.0,0,1,0,7.2,80.5
COL025,BR001,Zara Kids Back to School SS25,SS25,United Kingdom,2027-02-26,Retail,"knitwear, activewear",Core,Board Review,Medium,Medium,293,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Zara,"women, men and kids",mid,90.5,Ready,307,0.0,1,0,0,1.8,79.6
COL026,BR002,Pull&Bear Campus Summer 25,Summer 25,United Kingdom,2026-08-10,Retail,"denim, bags",Growth,High,Medium,Medium,86,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Pull&Bear,young casual fashion,accessible,66.4,At Risk,107,0.056,2,1,0,4.6,78.7
COL027,BR001,Zara Origins AW25,AW25,Mexico,2027-03-26,Omnichannel,"footwear, dresses, denim",Core,High,Medium,Low,67,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Zara,"women, men and kids",mid,68.6,At Risk,335,0.0,1,1,0,5.5,73.8
COL028,BR002,Pull&Bear Graphic Edit Holiday 25,Holiday 25,Mexico,2026-10-09,Omnichannel,"dresses, tailoring",Core,Board Review,Strategic,Strategic,430,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Pull&Bear,young casual fashion,accessible,67.7,At Risk,167,0.0,0,3,0,7.5,80.2
COL029,BR002,Pull&Bear Graphic Edit Holiday 25,Holiday 25,Poland,2026-09-25,Omnichannel,"kids basics, home textiles, tailoring",Growth,Board Review,Medium,Medium,336,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Pull&Bear,young casual fashion,accessible,77.1,Watch,153,0.0,0,0,0,7.3,78.0
COL030,BR007,Zara Home Tableware SS25,SS25,Spain,2026-12-21,E-commerce,"tailoring, footwear",Growth,Standard,Medium,Medium,156,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.,Zara Home,home and lifestyle,mid,55.7,At Risk,240,0.0,1,2,0,8.6,81.6
