collection_id,brand_id,collection_name,season,market,launch_date,launch_channel,category_mix,strategic_priority,launch_criticality,commercial_priority,revenue_exposure_band,planned_scope_skus,data_source
COL016,BR006,Oysho Training SS25,SS25,Portugal,2026-08-31,E-commerce,"knitwear, activewear, footwear",Market Test,Standard,Medium,Medium,190,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL017,BR001,Zara Woman Studio Holiday 25,Holiday 25,Portugal,2027-03-28,Retail,"outerwear, bags",Market Test,High,Strategic,Strategic,110,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL018,BR005,Stradivarius Denim Summer 25,Summer 25,Spain,2026-11-18,Omnichannel,"activewear, knitwear, tailoring, formalwear",Market Test,Standard,Medium,High,168,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL019,BR002,Pull&Bear Graphic Edit SS25,SS25,Portugal,2027-03-01,Omnichannel,"kids basics, knitwear, denim, dresses",Market Test,High,Medium,Low,133,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL020,BR006,Oysho Training Summer 25,Summer 25,Spain,2026-08-31,Retail,"formalwear, denim, footwear, home textiles",Hero Launch,High,High,Low,143,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL021,BR002,Pull&Bear Graphic Edit SS25,SS25,United States,2026-10-26,E-commerce,"accessories, tailoring, denim, footwear",Core,Board Review,Low,High,123,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL022,BR003,Massimo Dutti Limited Edition Holiday 25,Holiday 25,Poland,2026-12-20,E-commerce,"bags, dresses",Market Test,High,Medium,High,300,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL023,BR003,Massimo Dutti Knitwear SS25,SS25,Portugal,2027-02-16,Omnichannel,"footwear, home textiles",Growth,High,Strategic,High,179,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL024,BR001,Zara Man Essentials SS25,SS25,United States,2026-10-20,Omnichannel,"activewear, knitwear, formalwear",Core,High,High,Low,162,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL025,BR001,Zara Kids Back to School SS25,SS25,United Kingdom,2027-02-26,Retail,"knitwear, activewear",Core,Board Review,Medium,Medium,293,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL026,BR002,Pull&Bear Campus Summer 25,Summer 25,United Kingdom,2026-08-10,Retail,"denim, bags",Growth,High,Medium,Medium,86,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL027,BR001,Zara Origins AW25,AW25,Mexico,2027-03-26,Omnichannel,"footwear, dresses, denim",Core,High,Medium,Low,67,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL028,BR002,Pull&Bear Graphic Edit Holiday 25,Holiday 25,Mexico,2026-10-09,Omnichannel,"dresses, tailoring",Core,Board Review,Strategic,Strategic,430,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL029,BR002,Pull&Bear Graphic Edit Holiday 25,Holiday 25,Poland,2026-09-25,Omnichannel,"kids basics, home textiles, tailoring",Growth,Board Review,Medium,Medium,336,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
COL030,BR007,Zara Home Tableware SS25,SS25,Spain,2026-12-21,E-commerce,"tailoring, footwear",Growth,Standard,Medium,Medium,156,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
