supplier_id,supplier_name,country,supplier_city,supplier_lat,supplier_lon,region,supplier_specialty,lead_time_planned_days,reliability_score_base,capacity_band,sustainability_rating,historical_delay_risk,escalation_level,data_source
SUP017,Inditex Bangladesh Cluster Partner 17,Bangladesh,Dhaka,23.7838,90.5017,South Asia,outerwear,37,67,Medium,B,0.69,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP018,Inditex Portugal Cluster Partner 18,Portugal,Porto,41.244,-8.6968,Western Europe,denim,75,82,High,B,0.38,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP019,Inditex Vietnam Cluster Partner 19,Vietnam,Ho Chi Minh City,10.7337,106.593,Southeast Asia,outerwear,53,66,Medium,A,0.55,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP020,Inditex Morocco Cluster Partner 20,Morocco,Casablanca,33.5879,-7.5403,Nearshore EMEA,knitwear,75,77,Medium,B,0.44,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP021,Inditex Bangladesh Cluster Partner 21,Bangladesh,Dhaka,23.8176,90.459,South Asia,outerwear,79,84,Medium,C,0.4,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP022,Inditex Bangladesh Cluster Partner 22,Bangladesh,Dhaka,23.8971,90.4418,South Asia,woven apparel,44,73,Medium,A,0.56,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP023,Inditex Spain Cluster Partner 23,Spain,Valencia,39.3503,-0.2672,Western Europe,home textiles,37,78,High,A,0.34,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP024,Inditex Bangladesh Cluster Partner 24,Bangladesh,Dhaka,23.7655,90.4497,South Asia,activewear,36,98,Medium,B,0.1,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP025,Inditex China Cluster Partner 25,China,Guangzhou,23.1826,113.2093,East Asia,leather goods,78,89,Strategic,B,0.26,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP026,Inditex India Cluster Partner 26,India,Tiruppur,11.0731,77.4575,South Asia,activewear,78,80,Medium,B,0.47,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP027,Inditex China Cluster Partner 27,China,Guangzhou,23.1653,113.1391,East Asia,knitwear,45,72,Medium,B,0.53,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP028,Inditex Spain Cluster Partner 28,Spain,Barcelona,41.4072,2.1543,Western Europe,leather goods,68,65,High,A,0.64,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP029,Inditex China Cluster Partner 29,China,Guangzhou,23.1736,113.2881,East Asia,footwear,69,88,Medium,C,0.28,PMO watch,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP030,Inditex India Cluster Partner 30,India,Tiruppur,11.0374,77.3354,South Asia,activewear,83,71,High,A,0.51,Business as usual,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP031,Inditex Turkey Cluster Partner 31,Turkey,Istanbul,41.0521,28.9934,Nearshore EMEA,denim,63,80,Low,B,0.37,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP032,Inditex Bangladesh Cluster Partner 32,Bangladesh,Dhaka,23.9101,90.3923,South Asia,kidswear,67,67,High,D,0.71,Sourcing review,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP033,Inditex Italy Cluster Partner 33,Italy,Milan,45.624,9.0959,Western Europe,home textiles,61,71,High,D,0.6,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
SUP034,Inditex Portugal Cluster Partner 34,Portugal,Porto,41.0554,-8.663,Western Europe,activewear,57,98,Strategic,B,0.05,Executive escalation,Inditex Annual Report 2024 and official brand websites; operational rows are scenario records derived from public portfolio facts.
